old                                      new
01b6b5f8a54abf13c9057f265bcbbce349fdfc9f ae60b7666129bb07dc08cafed7abe3c6c9ad1615
03f96680a456e0fcebbb5bc7e415da6dbc531528 7f08755ef82780834f9bbc2f60a0bc6b93cd811d
07fb6b79e9d476d132ca8abb405b885ff369c7c6 397e142b1160d8065dc39670864cba38b592fec2
08890ffee2b7d9d87d5e1dd90cb32ee739e30d7a 6677a19350d280206ec1864621b4b2bfc6b2c4a2
0db509eb85cd3e6891d4031a7dc1f1aece85293f 8cc1f8123ecfaddf0707f764fbf5ba929ba46ef9
0dec9b595d3e2dd82b6822335724ca3236cf43da ca023976bd5401dbe526f4b5abab7a69d0bad6c5
0df66ca80ab9fff0ac8030cccbf0da210241b441 21fe28c7c7c3d1095a3452b1b294444f8fe4a736
14c5dcb14e8656c8a099b9b0e21fa7029de57148 2644e484da26c4e952e9af6d51efa398cf448241
157afc7734dda5e37a4eddb74b0086b56489cc5b 17da17ae26027fea11ceac29bd081f1a7ac746a1
1a3e7be7156db91abba9d7ec233c7650fa6af83b 4cf0c85ba50229e6931d50e88b58b4f6a5a84eb4
1a725824004913bd8fc86b342cc2b3c5083cd1be a70f0d5d3397d7a0c7d70b8974df77329dc6beb5
1ab60223c886601fd17010788001df7a499170ef 9979f2199f4681e6cc12315cfffa7a9a1bf360f0
201e9a4b331a3c8fdb15688137c34ae62c0f23e2 1810622c1bfc83d9931bf89c8a0563f93784bf2c
20c1e706bfa338e23e9b57abcf8e41ef5a9cd590 0fe06043b4b96f3ddfc9a4af338e1ddc7e8e45e9
25b76a5db833ac31ef1dcf1a0cd76b31191e6599 94cf189cc236f7ee7de09487f1d7a28599131250
283f5caec943a6ec83a3a13a1806650b0f6eb9bc 852bc6c82bdb915c43a3ad50ac047676b8e8d8d9
2c52ac86579b1bf3be3a3b1ca3f14d17622fc4a6 6bf47c8505b8dd2624b27de74dfd3ed32352bfe3
2d0d0c97bec1e72c6f1ee0f95a21bba47b763ef6 1001573a25c2da15bd8808c9213d102a4ddce583
2d8eeaf162dfec63c2542337fb8ea361c1c0c92a 8917e5169a01366f1906823c066617aa80e410c1
314ec0b22d33835dc16a61f3fd20b0cc0bd0a7fb 2b36607c04f90166b6711c49863475a248e7bddd
34aa15ee1cf8227fdb92c30f60b0e1e7d51b5f1e 357b1260bed9c63040f4561d5233ed930b5ef4fe
3a01db155bcd8ee7e9dc4c93668088e3142b4f2b 3f6cb79162597a376d447920eb851094e3365476
