66835947ed785ee494872413bba7e2c10ccda926	2026-07-30T22:26:41+08:00	Build native Personal Workbench WebView2 prototype
c6f24153fbc8596045c2428b1ced2c56a426e1c3	2026-07-30T22:27:32+08:00	Trigger native Personal Workbench build
e6f390b1fa5bc4758fd58a3ecb34f61cac43bd8d	2026-07-30T22:31:54+08:00	Report Personal Workbench build run for artifact retrieval
a44fa5334b2b632bdcb4a3f07a86e630e722c54e	2026-07-30T22:37:05+08:00	Fix duplicate WPF background before markup compilation
25b76a5db833ac31ef1dcf1a0cd76b31191e6599	2026-07-30T22:39:25+08:00	Normalize tuple names before native build
c864f7fc8772b9d982d6e951f27fdfa183595c45	2026-07-30T22:41:23+08:00	Trigger corrected Personal Workbench build
c9aa8fdfb01fe042ced5f9604e6555ac6e3cd71d	2026-07-30T23:27:08+08:00	Build lightweight Personal Workbench v0.3.1
8edc1e00ec63c0008aa473b74f9aaa3de1368d1f	2026-07-30T23:57:17+08:00	Use stable UI fonts and vector icon styles
201e9a4b331a3c8fdb15688137c34ae62c0f23e2	2026-07-30T23:59:30+08:00	Replace Unicode glyph icons with WPF vector paths
f19931d47166730d7130e831340d74884c4618d0	2026-07-30T23:59:48+08:00	Bump Personal Workbench to v0.3.2
97284e27369a6dc99534535799c076bf033aeae2	2026-07-31T00:00:54+08:00	Build lightweight Personal Workbench v0.3.2
620c13f0e8217badf2b83d82b3970917cb091908	2026-07-31T00:05:14+08:00	Fix Personal Workbench icon rendering in v0.3.2
61539913bf721bcedc4242708fb4a3bc85c5e8bd	2026-07-31T00:32:53+08:00	Fix collapsed sidebar and compact home in v0.3.3
6b67352c01ed0b2070ed7116a9abb4c577c87729	2026-07-31T06:40:26+08:00	Add Zotero and Python environment modules in v0.4.0
8bbfe1780d6277eb64fe358abc91ef48bd4ac16b	2026-07-31T07:39:06+08:00	Extend workbench settings for Zotero, PDF reader and terminal
2d0d0c97bec1e72c6f1ee0f95a21bba47b763ef6	2026-07-31T07:41:55+08:00	Expand Zotero read-only data model and collection queries
0df66ca80ab9fff0ac8030cccbf0da210241b441	2026-07-31T07:43:13+08:00	Add full three-pane Zotero library view
51281b6ee8e33228e92134aaf96b66d8980423b4	2026-07-31T07:44:15+08:00	Implement Zotero library interaction and external PDF opening
e5c2b58fa1665871f3a31bdaf7c74fb8d6bd4872	2026-07-31T07:44:57+08:00	Add streamlined Python environment view for integrated terminal
8035755f0b637fe75f69d067b48ff8d23f6a65ac	2026-07-31T07:45:34+08:00	Implement Python environment actions for integrated terminal
75783406c4532b142938387741184838a7b3416f	2026-07-31T07:46:28+08:00	Add organized settings panel for local integrations
a227afdd8892b962244be0e9139124df2cac8d75	2026-07-31T07:47:17+08:00	Implement consolidated integration settings
9914d0ba04a0a734383e7778c47e89eeae7b85ee	2026-07-31T07:47:36+08:00	Add local xterm terminal host page
8e8edd11992a8f7bb024f37d0acc4e38de1fea6f	2026-07-31T07:48:03+08:00	Implement xterm host messaging and clipboard behavior
c9834c1e6916c41f1c293c947e0a84893f8e9466	2026-07-31T07:48:25+08:00	Add embedded terminal asset extraction
20c1e706bfa338e23e9b57abcf8e41ef5a9cd590	2026-07-31T07:49:58+08:00	Add native Windows ConPTY terminal session host
3a01db155bcd8ee7e9dc4c93668088e3142b4f2b	2026-07-31T07:50:27+08:00	Add integrated multi-tab terminal drawer UI
d1e285995f860943a2f690ea814bedc2ef15d794	2026-07-31T07:51:22+08:00	Implement xterm and ConPTY multi-tab terminal bridge
a5153a57f20ad98fd400707f64c7f6a5af5b10b5	2026-07-31T07:52:53+08:00	Add terminal header styling
